idx,original_post,sentence1,sentence2,automatic_antithesis,gold_label,real_antithesis,contrast
0,"Ich traute meinen Augen nicht nach der Ankunft in Moskau, und ich war den Tränen nahe – die Stadt lebt, als gäbe es Corona nicht. Mitten in der Nacht machte ich mich auf einen Streifzug – sehen Sie sich mit mir das pralle (Nacht )Leben in Moskau an!  ",als gäbe es Corona nicht,Leben in Moskau an,0,0,0,1
1,Nebelkerzen gegen die Aufklärung des Intensivbettenschwindels Die Methode ist primitiv: Man picke sich bei handfesten Vorwürfen Fehler in Details heraus und vertausche dann Wesentliches mit Nebensächlichem. Genau so agierten die meisten Medien im Verbund mit „Faktencheckern“ auf den Vorwurf des Schwindels mit den Intensivbetten einer regierungskritischen Expertengruppe.,Nebelkerzen gegen die Aufklärung des Intensivbettenschwindels Die Methode ist primitiv,auf den Vorwurf des Schwindels mit den Intensivbetten einer regierungskritischen Expertengruppe,0,0,0,0
2,"Große Freiheit für „drei G“: Wer genesen, geimpft und getestet ist, darf schon bald in den Genuss der groß angekündigten Öffnungen kommen. Wer zu diesen „drei G“ nicht gehört, darf draußen bleiben. So schnell geht die Einführung von Kasten in Deutschland 2021. ",drei G,drei G,0,0,0,1
3,"Frank Walter Steinmeier duckt sich weg: Statt das geknebelte Grundgesetz zu verteidigen, feiert der Bundespräsident lieber dessen 72. Geburtstag mit einem Einbürgerungsfest mit sechs Migranten und maßregelt sein Volk, diesen Neubürgern mehr Platz einzuräumen. Und damit sich die Neubürger nicht ängstigen vor zu viel Verbindlichkeit, beruhigt Steinmeier sie: Das Grundgesetz stände im Prinzip zwar irgendwie fest, „das heißt aber nicht, dass unser Grundgesetz etwas Statisches wäre. Es wurde immer wieder verändert, und es wird sich auch weiter verändern.“ ",diesen Neubürgern mehr Platz einzuräumen,dass unser Grundgesetz etwas Statisches wäre,0,0,0,1
4,"Frank Walter Steinmeier duckt sich weg: Statt das geknebelte Grundgesetz zu verteidigen, feiert der Bundespräsident lieber dessen 72. Geburtstag mit einem Einbürgerungsfest mit sechs Migranten und maßregelt sein Volk, diesen Neubürgern mehr Platz einzuräumen. Und damit sich die Neubürger nicht ängstigen vor zu viel Verbindlichkeit, beruhigt Steinmeier sie: Das Grundgesetz stände im Prinzip zwar irgendwie fest, „das heißt aber nicht, dass unser Grundgesetz etwas Statisches wäre. Es wurde immer wieder verändert, und es wird sich auch weiter verändern.“ ",Es wurde immer wieder verändert,es wird sich auch weiter verändern,0,0,0,1
5,"„Wenn Sie sauer sein wollen, seien Sie sauer auf mich“, sagt Spahn zu Problemen bei Impfterminen. Zuckerbrot und Peitsche, Hoffnungsschimmer und Durchhalteparolen – mit dieser Mischung treten der Minister und RKi Chef Wieler gerade auf der Bundespressekonferenz auf. Ich berichte live: ",Zuckerbrot und Peitsche,Hoffnungsschimmer und Durchhalteparolen,0,0,0,1
6,"Nach seiner Ankunft in Kroatien kamen Jörg Schneidereit fast die Tränen – aus Freude über ein normales Leben dort. Jetzt erfuhr er vom Tod eines Bekannten nach der Impfung. „Die Nachrichten aus Deutschland wirken von hier aus von Tag zu Tag grotesker, schildbürgerartiger und wahnhafter“, schreibt er – und entschloss sich: Er bleibt noch. In einem freien Land. ",schreibt er,entschloss sich,0,0,0,0
7,"Ist der Staat ein guter Arzt? Das Risiko trägt der Einzelne Wenn Medizin zum Zwang wird und auf Erpressung beruht, ist die Diktatur nicht mehr weit. Die Menschen haben heute nicht mehr die Wahl. Sie werden unter Druck gesetzt, sich impfen zu lassen und ein Druckmittel ist der „Grundrechtsentzug“. In einer solchen Situation lässt sich kein einziger Impftoter mehr rechtfertigen, weil Zwang im Spiel ist. Von Sönke Paulsen. ",Das Risiko trägt der Einzelne Wenn Medizin zum Zwang wird und auf Erpressung beruht,In einer solchen Situation lässt sich kein einziger Impftoter mehr rechtfertigen,0,0,0,0
8,"Ist der Staat ein guter Arzt? Das Risiko trägt der Einzelne Wenn Medizin zum Zwang wird und auf Erpressung beruht, ist die Diktatur nicht mehr weit. Die Menschen haben heute nicht mehr die Wahl. Sie werden unter Druck gesetzt, sich impfen zu lassen und ein Druckmittel ist der „Grundrechtsentzug“. In einer solchen Situation lässt sich kein einziger Impftoter mehr rechtfertigen, weil Zwang im Spiel ist. Von Sönke Paulsen. ",weil Zwang im Spiel ist,Von Sönke Paulsen,0,0,0,0
9,"Sind Kinder durch die Sonderrechte für Geimpfte benachteiligt? In Politik und Medien wird überall und ständig Diskriminierung gewittert. Nun haben Geimpfte Sonderrechte, Kinder und Jugendliche dagegen können sich gar nicht impfen lassen. Wo bleibt da die Gerechtigkeit und Gleichbehandlung? Das habe ich jetzt die Bundesregierung gefragt. Sie verweist darauf, dass Kinder ja auch „Genesene“ sein können.  ",In Politik und Medien wird überall und ständig Diskriminierung gewittert,Kinder und Jugendliche dagegen können sich gar nicht impfen lassen,0,0,0,1
10,"Darf sich Baerbock Völkerrechtlerin nennen?  Falscher Adressat? Was dürfen Journalisten die Regierung fragen? Ist es legitim, sich bei ihr zu erkundigen, wie sie die Qualifikation einer Kanzlerkandidatin einschätzt? Nach Ansicht vieler Kollegen nicht. Ich finde: Die Frage ist relevant und mehr als berechtigt. Denn das Wegducken der Regierung sagt einiges aus. ",Was dürfen Journalisten die Regierung fragen,wie sie die Qualifikation einer Kanzlerkandidatin einschätzt,0,0,0,0
